#Nouns
##masculine - singular
 $	am$	NOUN-common-masculine,feminine-plural-animate
 $	ow$	NOUN-common-masculine,feminine-plural-animate
 $	ami$	NOUN-common-masculine,feminine-plural-animate
 $	ach$	NOUN-common-masculine,feminine-plural-animate
a$	ojo$	NOUN-common-masculine,feminine-plural-animate
a$	ow$	NOUN-common-masculine,feminine-plural-animate
a$	am$	NOUN-common-masculine,feminine-plural-animate
a$	ow$	NOUN-common-masculine,feminine-plural-animate
a$	ami$	NOUN-common-masculine,feminine-plural-animate
a$	ach$	NOUN-common-masculine,feminine-plural-animate
###soft consonant - animate
ja$	ojo$	NOUN-common-masculine,feminine-plural-animate
ja$	ow$	NOUN-common-masculine,feminine-plural-animate
ja$	am$	NOUN-common-masculine,feminine-plural-animate
ja$	ow$	NOUN-common-masculine,feminine-plural-animate
ja$	emi$	NOUN-common-masculine,feminine-plural-animate
ja$	ach$	NOUN-common-masculine,feminine-plural-animate
###hard consonant - inanimateate
 $	y$	NOUN-common-masculine,feminine-plural-inanimate
 $	ow$	NOUN-common-masculine,feminine-plural-inanimate
 $	am$	NOUN-common-masculine,feminine-plural-inanimate
 $	y$	NOUN-common-masculine,feminine-plural-inanimate
 $	ami$	NOUN-common-masculine,feminine-plural-inanimate
 $	ach$	NOUN-common-masculine,feminine-plural-inanimate
a$	y$	NOUN-common-masculine,feminine-plural-inanimate
a$	ow$	NOUN-common-masculine,feminine-plural-inanimate
a$	am$	NOUN-common-masculine,feminine-plural-inanimate
a$	y$	NOUN-common-masculine,feminine-plural-inanimate
a$	ami$	NOUN-common-masculine,feminine-plural-inanimate
a$	ach$	NOUN-common-masculine,feminine-plural-inanimate 
###soft consonant - inanimateate
 $	e$	NOUN-common-masculine,feminine-plural-inanimate
 $	ow$	NOUN-common-masculine,feminine-plural-inanimate
 $	am$	NOUN-common-masculine,feminine-plural-inanimate
 $	e$	NOUN-common-masculine,feminine-plural-inanimate
 $	emi$	NOUN-common-masculine,feminine-plural-inanimate
 $	ach$	NOUN-common-masculine,feminine-plural-inanimate
ja$	je$	NOUN-common-masculine,feminine-plural-inanimate
ja$	jow$	NOUN-common-masculine,feminine-plural-inanimate
ja$	jam$	NOUN-common-masculine,feminine-plural-inanimate
ja$	je$	NOUN-common-masculine,feminine-plural-inanimate
ja$	jemi$	NOUN-common-masculine,feminine-plural-inanimate
ja$	jach$	NOUN-common-masculine,feminine-plural-inanimate 
#neuter - plural
###hard consonant
o$	a$	NOUN-common-neuter-plural-inanimate,animate
o$	ow$	NOUN-common-neuter-plural-inanimate,animate
o$	am$	NOUN-common-neuter-plural-inanimate,animate
o$	a$	NOUN-common-neuter-plural-inanimate,animate
o$	ami$	NOUN-common-neuter-plural-inanimate,animate
o$	ach$	NOUN-common-neuter-plural-inanimate,animate
###soft consonant
o$	a$	NOUN-common-neuter-plural-inanimate,animate
o$	ow$	NOUN-common-neuter-plural-inanimate,animate
o$	am$	NOUN-common-neuter-plural-inanimate,animate
o$	a$	NOUN-common-neuter-plural-inanimate,animate
o$	emi$	NOUN-common-neuter-plural-inanimate,animate
o$	ach$	NOUN-common-neuter-plural-inanimate,animate
je$	ja$	NOUN-common-neuter-plural-inanimate,animate
je$	jow$	NOUN-common-neuter-plural-inanimate,animate
je$	jam$	NOUN-common-neuter-plural-inanimate,animate
je$	ja$	NOUN-common-neuter-plural-inanimate,animate
je$	jemi$	NOUN-common-neuter-plural-inanimate,animate
je$	jach$	NOUN-common-neuter-plural-inanimate,animate
#Adjectives
## masculine - singular
### hard consonant
y$	y$	ADJ-masculine-singular
y$	eho$	ADJ-masculine-singular
y$	emu$	ADJ-masculine-singular
y$	y$	ADJ-masculine-singular
y$	ym$	ADJ-masculine-singular
y$	ym$	ADJ-masculine-singular
### soft consonant
i$	i$	ADJ-masculine-singular
i$	jeho$	ADJ-masculine-singular
i$	eho$	ADJ-masculine-singular
i$	jemu$	ADJ-masculine-singular
i$	emu$	ADJ-masculine-singular
i$	i$	ADJ-masculine-singular
i$	im$	ADJ-masculine-singular
i$	im$	ADJ-masculine-singular
## feminine - singular
### hard consonant
y$	a$	ADJ-feminine-singular
y$	eje$	ADJ-feminine-singular
y$	ej$	ADJ-feminine-singular
y$	u$	ADJ-feminine-singular
y$	ej$	ADJ-feminine-singular
y$	ej$	ADJ-feminine-singular
### soft consonant
i$	ja$	ADJ-feminine-singular
i$	jeje$	ADJ-feminine-singular
i$	jej$	ADJ-feminine-singular
i$	ju$	ADJ-feminine-singular
i$	jej$	ADJ-feminine-singular
i$	jej$	ADJ-feminine-singular
## neuter - singular
### hard consonant
y$	e$	ADJ-neuter-singular
y$	eho$	ADJ-neuter-singular
y$	emu$	ADJ-neuter-singular
y$	e$	ADJ-neuter-singular
y$	ym$	ADJ-neuter-singular
y$	ym$	ADJ-neuter-singular
### soft consonant
i$	je$	ADJ-neuter-singular
i$	jeho$	ADJ-neuter-singular
i$	jemu$	ADJ-neuter-singular
i$	je$	ADJ-neuter-singular
i$	im$	ADJ-neuter-singular
i$	im$	ADJ-neuter-singular
## masculine/feminine/neuter - dual
### hard consonant
y$	ej$	ADJ-masculine,feminine,neuter-dual
y$	eju$	ADJ-masculine,feminine,neuter-dual
y$	ymaj$	ADJ-masculine,feminine,neuter-dual
y$	ej$	ADJ-masculine,feminine,neuter-dual
y$	ymaj$	ADJ-masculine,feminine,neuter-dual
y$	ymaj$	ADJ-masculine,feminine,neuter-dual
### soft consonant
i$	jej$	ADJ-masculine,feminine,neuter-dual
i$	jeju$	ADJ-masculine,feminine,neuter-dual
i$	imaj$	ADJ-masculine,feminine,neuter-dual
i$	jej$	ADJ-masculine,feminine,neuter-dual
i$	imaj$	ADJ-masculine,feminine,neuter-dual
i$	imaj$	ADJ-masculine,feminine,neuter-dual
## masculine/feminine/neuter - plural
### hard consonant
ky$	cy$	ADJ-masculine,feminine,neuter-plural
hy$	zy$	ADJ-masculine,feminine,neuter-plural
y$	e$	ADJ-masculine,feminine,neuter-plural
y$	ych$	ADJ-masculine,feminine,neuter-plural
y$	ym$	ADJ-masculine,feminine,neuter-plural
y$	e$	ADJ-masculine,feminine,neuter-plural
y$	ymi$	ADJ-masculine,feminine,neuter-plural
y$	ych$	ADJ-masculine,feminine,neuter-plural
y$	i$	ADJ-masculine,feminine,neuter-plural
y$	ych$	ADJ-masculine,feminine,neuter-plural
y$	ym$	ADJ-masculine,feminine,neuter-plural
y$	ych$	ADJ-masculine,feminine,neuter-plural
y$	ymi$	ADJ-masculine,feminine,neuter-plural
y$	ych$	ADJ-masculine,feminine,neuter-plural
### soft consonant
ki$	cy$	ADJ-masculine,feminine,neuter-plural
hi$	zy$	ADJ-masculine,feminine,neuter-plural
i$	i$	ADJ-masculine,feminine,neuter-plural
i$	ich$	ADJ-masculine,feminine,neuter-plural
i$	im$	ADJ-masculine,feminine,neuter-plural
i$	ich$	ADJ-masculine,feminine,neuter-plural
i$	imi$	ADJ-masculine,feminine,neuter-plural
i$	ich$	ADJ-masculine,feminine,neuter-plural
i$	je$	ADJ-masculine,feminine,neuter-plural
i$	ich$	ADJ-masculine,feminine,neuter-plural
i$	im$	ADJ-masculine,feminine,neuter-plural
i$	je$	ADJ-masculine,feminine,neuter-plural
i$	imi$	ADJ-masculine,feminine,neuter-plural
i$	ich$	ADJ-masculine,feminine,neuter-plural
#Verb
##Present tense
###singular
ować$	uju$	VERB-indicative-present-singular
ować$	uješ$	VERB-indicative-present-singular
ować$	uje$	VERB-indicative-present-singular
nyć$	nu$	VERB-indicative-present-singular
nyć$	nješ$	VERB-indicative-present-singular
nyć$	nje$	VERB-indicative-present-singular
c$	ku$	VERB-indicative-present-singular
c$	češ$	VERB-indicative-present-singular
c$	če$	VERB-indicative-present-singular
sć$	su$	VERB-indicative-present-singular
sć$	seš$	VERB-indicative-present-singular
sć$	se$	VERB-indicative-present-singular
zć$	zu$	VERB-indicative-present-singular
zć$	zeš$	VERB-indicative-present-singular
zć$	ze$	VERB-indicative-present-singular
ć$	ju$	VERB-indicative-present-singular
ć$	ješ$	VERB-indicative-present-singular
ć$	je$	VERB-indicative-present-singular
#
ić$	ju$	VERB-indicative-present-singular
ić$	iš$	VERB-indicative-present-singular
ić$	i$	VERB-indicative-present-singular
yć$	ju$	VERB-indicative-present-singular
yć$	yš$	VERB-indicative-present-singular
yć$	y$	VERB-indicative-present-singular
ać$	am$	VERB-indicative-present-singular
ać$	aš$	VERB-indicative-present-singular
ać$	a$	VERB-indicative-present-singular
ać$	ju$	VERB-indicative-present-singular
ać$	ješ$	VERB-indicative-present-singular
ać$	je$	VERB-indicative-present-singular
eć$	am$	VERB-indicative-present-singular
eć$	eš$	VERB-indicative-present-singular
eć$	a$	VERB-indicative-present-singular
###dual
ować$	ujemoj$	VERB-indicative-present-dual
ować$	ujetej$	VERB-indicative-present-dual
ować$	ujetej$	VERB-indicative-present-dual
nyć$	njemoj$	VERB-indicative-present-dual
nyć$	njetej$	VERB-indicative-present-dual
nyć$	njetej$	VERB-indicative-present-dual
c$	čemoj$	VERB-indicative-present-dual
c$	četej$	VERB-indicative-present-dual
c$	četej$	VERB-indicative-present-dual
sć$	semoj$	VERB-indicative-present-dual
sć$	setej$	VERB-indicative-present-dual
sć$	setej$	VERB-indicative-present-dual
zć$	zemoj$	VERB-indicative-present-dual
zć$	zetej$	VERB-indicative-present-dual
zć$	zetej	VERB-indicative-present-dual
ć$	jemoj$	VERB-indicative-present-dual
ć$	jetej$	VERB-indicative-present-dual
ć$	jetej$	VERB-indicative-present-dual
#
ić$	imoj$	VERB-indicative-present-dual
ić$	itej$	VERB-indicative-present-dual
ić$	itej$	VERB-indicative-present-dual
yć$	ymoj$	VERB-indicative-present-dual
yć$	ytej$	VERB-indicative-present-dual
yć$	ytej$	VERB-indicative-present-dual
ać$	amoj$	VERB-indicative-present-dual
ać$	atej$	VERB-indicative-present-dual
ać$	atej$	VERB-indicative-present-dual
ać$	jemoj$	VERB-indicative-present-dual
ać$	jetej$	VERB-indicative-present-dual
ać$	jetej$	VERB-indicative-present-dual
